,subj,echo,coil,diff_real,diff_imag,perc_real,perc_imag,std_real_orig,std_imag_orig,std_real_def,std_imag_def
0,83,1,1,4379.07080078125,4424.373046875,46.4896067390394,46.89658898836021,7229.92626953125,7222.130859375,11608.9970703125,11646.50390625
1,83,1,2,3855.943359375,3911.5361328125,43.85647812516418,44.23826470464146,6864.21484375,6886.20703125,10720.158203125,10797.7431640625
2,83,1,3,2062.42578125,2116.0810546875,26.633766727729803,27.302518821403794,6712.4375,6692.45703125,8774.86328125,8808.5380859375
3,83,1,4,5538.3330078125,5641.458984375,45.33313370911287,46.01878828042234,9447.798828125,9438.3046875,14986.1318359375,15079.763671875
4,83,1,5,5699.1357421875,5728.1884765625,49.116884738936086,49.23910079868267,8753.6435546875,8769.3193359375,14452.779296875,14497.5078125
5,83,1,6,3203.2197265625,3088.625,30.79314024227101,29.755799848847875,8800.7705078125,8835.5966796875,12003.990234375,11924.2216796875
6,83,1,7,3543.8544921875,3715.3173828125,43.29455553730857,45.03132497606093,6413.5234375,6392.8583984375,9957.3779296875,10108.17578125
7,83,1,8,3745.31689453125,3876.43701171875,41.46400570237523,42.60515859386404,7160.03564453125,7160.29736328125,10905.3525390625,11036.734375
8,83,1,9,4147.6162109375,4399.4482421875,48.53117282666873,50.7019207156422,6472.484375,6477.3603515625,10620.1005859375,10876.80859375
9,83,1,10,9215.2607421875,9382.88671875,61.700649527530146,62.63905754259429,10327.8056640625,10287.84765625,19543.06640625,19670.734375
10,83,1,11,5627.8798828125,5257.0654296875,42.956002914146715,40.662842627845556,10287.55859375,10299.8935546875,15915.4384765625,15556.958984375
11,83,1,12,15332.1572265625,15568.01171875,94.53387355686496,95.46118687336852,8552.6123046875,8524.205078125,23884.76953125,24092.216796875
12,83,1,13,14170.8349609375,14026.3310546875,89.03839817295899,88.50569733401396,8830.0029296875,8834.7763671875,23000.837890625,22861.107421875
13,83,1,14,5636.25390625,5484.3583984375,48.69063114825807,47.64343295727484,8757.5166015625,8769.0791015625,14393.7705078125,14253.4375
14,83,1,15,9106.0927734375,9117.400390625,68.38666208244385,68.29660781683828,8762.5517578125,8791.01171875,17868.64453125,17908.412109375
15,83,1,16,5209.40087890625,5307.306640625,49.32667171360047,49.96557368201998,7956.32177734375,7968.2734375,13165.72265625,13275.580078125
16,83,1,17,1705.544921875,1717.228271484375,37.14946333079499,37.337898043459056,3738.2626953125,3740.542236328125,5443.8076171875,5457.7705078125
17,83,1,18,9791.6220703125,9907.24609375,102.70914706289085,102.89501058056811,4637.5390625,4674.876953125,14429.1611328125,14582.123046875
18,83,1,19,-367.76513671875,-322.43994140625,-6.240444828151902,-5.463738979763157,6077.134765625,6062.67236328125,5709.36962890625,5740.232421875
19,83,1,20,9843.20703125,9745.109375,83.91756110126562,83.21232694173648,6808.01220703125,6838.58154296875,16651.21875,16583.69140625
20,83,1,21,17059.296875,17281.234375,103.21172088938508,104.46034753403464,7998.80126953125,7902.72607421875,25058.09765625,25183.9609375
21,83,1,22,4481.20849609375,4565.37109375,47.812481603100004,48.4741087907758,7131.86181640625,7135.478515625,11613.0703125,11700.849609375
22,83,1,23,3983.38134765625,3963.09814453125,47.76002865379837,47.51051164783653,6348.71728515625,6359.96923828125,10332.0986328125,10323.0673828125
23,83,1,24,1010.2294921875,1041.53271484375,14.503443441828114,14.980520945321278,6460.3310546875,6431.81396484375,7470.560546875,7473.3466796875
24,83,1,25,4284.07373046875,4270.26318359375,58.78621750044791,58.71655026078194,5145.51123046875,5137.54248046875,9429.5849609375,9407.8056640625
25,83,1,26,1321.28125,1317.68408203125,20.357531831024865,20.217458046379242,5829.73974609375,5858.71337890625,7151.02099609375,7176.3974609375
26,83,1,27,880.13623046875,896.74755859375,15.388586527338463,15.720963573165173,5279.3408203125,5255.77734375,6159.47705078125,6152.52490234375
27,83,1,28,1109.23193359375,1155.806640625,20.67048149325639,21.600363185906925,4811.64453125,4772.96337890625,5920.87646484375,5928.77001953125
28,83,1,29,12026.296875,11944.03125,98.12732291799138,97.66918377591301,6242.66015625,6257.05322265625,18268.95703125,18201.083984375
29,83,1,30,5945.005859375,6051.61083984375,62.0953445265761,62.88688883587017,6601.4931640625,6597.20361328125,12546.4990234375,12648.814453125
30,83,1,31,7707.8984375,7624.5146484375,79.77341723625506,79.01147398972623,5808.2900390625,5837.625,13516.1884765625,13462.1396484375
31,83,1,32,3931.76708984375,3817.2841796875,57.29811638145428,55.90355907785204,4896.06494140625,4919.6962890625,8827.83203125,8736.98046875
32,83,2,1,5450.9765625,5681.04296875,54.82710964734356,56.73009344872071,7216.630859375,7173.6396484375,12667.607421875,12854.6826171875
33,83,2,2,4330.91552734375,4261.44873046875,48.225384744368974,47.65994918061524,6815.11474609375,6810.63818359375,11146.0302734375,11072.0869140625
34,83,2,3,2682.14599609375,2723.37744140625,33.8914685234606,34.33495790218236,6572.85400390625,6570.10302734375,9255.0,9293.48046875
35,83,2,4,6044.6318359375,6016.5107421875,48.989439459523204,48.66862713375772,9316.3271484375,9353.939453125,15360.958984375,15370.4501953125
36,83,2,5,5657.3212890625,5873.2412109375,49.20235426732611,50.61830733065859,8669.41015625,8666.376953125,14326.7314453125,14539.6181640625
37,83,2,6,3772.9697265625,3844.9296875,35.963141401258234,36.53753799373763,8604.728515625,8600.7666015625,12377.6982421875,12445.6962890625
38,83,2,7,3808.115234375,3892.07763671875,46.03797027792955,46.787110641797206,6367.6259765625,6372.65771484375,10175.7412109375,10264.7353515625
