,subj,echo,coil,diff_real,diff_imag,perc_real,perc_imag
0,27,1,1,3461.853515625,3531.8076171875,37.156942138763746,37.88913520388386
1,27,1,2,3397.044921875,3393.86572265625,41.512064317568594,41.532914058648664
2,27,1,3,1170.0146484375,1235.00927734375,16.924152120242358,17.836559142818054
3,27,1,4,2806.19921875,2931.0986328125,28.45299017761954,29.552805623357532
4,27,1,5,3325.1650390625,3389.12255859375,34.12042847230879,34.63477397827282
5,27,1,6,2372.3173828125,2355.62109375,24.66056926786751,24.542433279829133
6,27,1,7,3378.22119140625,3484.787109375,40.81335207038215,41.79116258915291
7,27,1,8,3566.1142578125,3603.21337890625,37.99915171290102,38.14547900421817
8,27,1,9,3211.25537109375,3203.54833984375,36.65875073591735,36.548518766187016
9,27,1,10,6328.0869140625,6397.322265625,52.753848896762214,53.182511788734445
10,27,1,11,2458.24609375,2459.2529296875,24.513266020086853,24.61030447381722
11,27,1,12,5790.81689453125,5627.30322265625,60.17552270019374,59.05652665715658
12,27,1,13,7993.1005859375,8115.24072265625,70.68024555643541,71.2718219396281
13,27,1,14,3398.52734375,3436.73681640625,35.38695630599228,35.71147991402175
14,27,1,15,8210.544921875,8182.01171875,64.96443668357384,64.68305044338845
15,27,1,16,4275.087890625,4304.99609375,38.89340515529589,39.08363253486266
16,27,1,17,3935.94677734375,3877.90087890625,49.91916517873952,49.422366356995674
17,27,1,18,9014.9765625,9040.583984375,92.92085798533654,92.9732451642164
18,27,1,19,5110.6015625,5039.27197265625,58.48325569845796,57.87287987704543
19,27,1,20,7714.76123046875,7719.93798828125,82.75936827736628,82.54018098409843
20,27,1,21,12637.255859375,12409.171875,92.47155602219709,91.53218359176347
21,27,1,22,5377.84375,5484.3916015625,54.41392196561207,55.106619603767335
22,27,1,23,2786.24951171875,2865.6806640625,36.12990239003287,36.88522957133883
23,27,1,24,950.20703125,856.9404296875,13.95927700157854,12.663817438709597
24,27,1,25,4187.57470703125,4159.7275390625,58.7019904520616,58.28407012241532
25,27,1,26,1193.0751953125,1196.02392578125,18.64371590311596,18.678568187693358
26,27,1,27,846.37060546875,916.9267578125,14.780233844907084,15.954198836466798
27,27,1,28,1216.57275390625,1196.7236328125,22.768728718922546,22.319569011725996
28,27,1,29,10160.775390625,10006.9716796875,90.9344713025447,89.87568958285861
29,27,1,30,6676.6357421875,6636.421875,64.91084540777517,64.55684766856803
30,27,1,31,5609.8583984375,5665.96044921875,65.75923159907542,66.2438244044306
31,27,1,32,4051.98828125,4068.98388671875,58.076637485364444,58.15793947589398
32,27,2,1,4579.013671875,4611.716796875,46.840643354449824,47.17052635952938
33,27,2,2,4246.3056640625,4283.60888671875,49.842673286348145,50.25759446810939
34,27,2,3,1714.0380859375,1703.2236328125,24.351518172711078,24.34376486066584
35,27,2,4,3404.111328125,3261.0634765625,33.822640164934626,32.77782085775395
36,27,2,5,3711.814453125,3723.94970703125,37.717738708786236,37.82747417797715
37,27,2,6,3141.76416015625,3142.59375,32.258314057389555,32.25870025751698
38,27,2,7,3960.99462890625,3982.650390625,46.47676057984194,46.67819247411701
39,27,2,8,4476.73486328125,4517.021484375,45.64290797851919,46.0137767859843
40,27,2,9,3524.3837890625,3513.2607421875,39.89729646787052,39.955590572309205
41,27,2,10,5734.2041015625,5789.408203125,49.47070163711451,49.85273801999574
42,27,2,11,3365.490234375,3323.4150390625,32.54622043014408,32.112350581068384
43,27,2,12,4797.4560546875,4741.9892578125,52.96494451537447,52.38109878047044
44,27,2,13,5777.78955078125,5902.87353515625,57.043422449251324,57.87098226984203
45,27,2,14,4487.98193359375,4390.6640625,44.695420174209005,43.93086266118995
46,27,2,15,7138.9921875,7112.302734375,59.497929996297614,59.280724301090814
47,27,2,16,5174.80859375,5305.0478515625,46.16363012601904,47.03879224501459
48,27,2,17,4095.57080078125,4038.80615234375,51.23525045366774,50.714623722289886
49,27,2,18,8001.33251953125,8041.06494140625,88.03701344199737,88.31961012612337
50,27,2,19,5628.3955078125,5674.86962890625,62.49240459718668,62.82064947657084
51,27,2,20,7418.640625,7448.4033203125,85.85669559415116,86.09626724823003
52,27,2,21,10552.951171875,10778.787109375,87.92602583748307,88.99961013456607
53,27,2,22,5823.634765625,5822.423828125,58.00246292026945,57.863804417502884
54,27,2,23,2284.0546875,2307.18994140625,30.883132964907368,31.13052945930896
55,27,2,24,949.66796875,954.5693359375,14.026989904118514,14.088183111400648
56,27,2,25,4677.99853515625,4605.40283203125,63.681394317786776,62.750920785808184
57,27,2,26,1254.49169921875,1195.31298828125,19.606946655683352,18.796215021240943
