,subj,echo,coil,diff_real,diff_imag,perc_real,perc_imag,std_real_orig,std_imag_orig,std_real_def,std_imag_def
0,83,1,1,4465.52880859375,4543.16162109375,47.654069316654606,48.27632707047567,7137.95458984375,7139.16357421875,11603.4833984375,11682.3251953125
1,83,1,2,4007.4892578125,4105.42333984375,46.08094010903558,46.84436633992248,6692.88671875,6711.25244140625,10700.3759765625,10816.67578125
2,83,1,3,3226.89111328125,3273.97705078125,45.015356656560584,45.48575378651947,5554.97705078125,5560.81884765625,8781.8681640625,8834.7958984375
3,83,1,4,6191.0439453125,6337.6015625,52.30505532367091,53.18143999454558,8740.8935546875,8748.1416015625,14931.9375,15085.7431640625
4,83,1,5,5803.72265625,5841.6953125,50.19665596178474,50.38621681375677,8660.109375,8672.98828125,14463.83203125,14514.68359375
5,83,1,6,4350.47314453125,4372.662109375,44.32415698341965,44.641314655842805,7639.89208984375,7608.7705078125,11990.365234375,11981.4326171875
6,83,1,7,4101.5634765625,4257.62060546875,51.737272526202915,53.24370767789329,5876.89453125,5867.66650390625,9978.4580078125,10125.287109375
7,83,1,8,4696.38330078125,4865.78564453125,54.716099795430296,56.14544982092847,6234.99169921875,6233.50048828125,10931.375,11099.2861328125
8,83,1,9,3730.5126953125,3868.607421875,42.274072642822155,43.49672730403022,6959.3310546875,6959.7158203125,10689.84375,10828.3232421875
9,83,1,10,10682.9326171875,10604.2744140625,75.05400929849112,74.44920579940988,8892.1943359375,8941.4990234375,19575.126953125,19545.7734375
10,83,1,11,6868.451171875,6582.3330078125,55.24459221800947,53.386082807047785,8998.5771484375,9038.5126953125,15867.0283203125,15620.845703125
11,83,1,12,16745.74609375,16805.26171875,108.01617882629809,108.14418279211348,7130.1240234375,7137.0498046875,23875.87109375,23942.3125
12,83,1,13,15746.138671875,15587.982421875,104.03349295972572,103.3271040959744,7262.57470703125,7292.06298828125,23008.712890625,22880.044921875
13,83,1,14,6096.578125,5987.734375,53.77456719495195,53.06971237778008,8289.0,8288.904296875,14385.578125,14276.638671875
14,83,1,15,10658.71875,10759.337890625,85.01543429849302,85.28722881736095,7208.03271484375,7235.74609375,17866.751953125,17995.083984375
15,83,1,16,6395.42236328125,6471.15966796875,64.64714123836912,65.00723358013607,6695.10400390625,6718.94287109375,13090.5263671875,13190.1025390625
16,83,1,17,1194.65869140625,1202.75341796875,24.60074803875612,24.747048022899698,4258.85888671875,4258.81298828125,5453.517578125,5461.56640625
17,83,1,18,9817.5361328125,9988.15234375,103.0677160620525,104.16070774794373,4616.55859375,4595.09912109375,14434.0947265625,14583.2509765625
18,83,1,19,-1560.9326171875,-1568.77734375,-24.039827067314658,-24.075260253762966,7273.5771484375,7300.52734375,5712.64453125,5731.75
19,83,1,20,8787.4404296875,8648.703125,71.53274801324841,70.70024622983516,7890.7802734375,7908.56591796875,16678.220703125,16557.26953125
20,83,1,21,13839.3984375,13902.3623046875,76.2577279889934,76.12162953968719,11228.4921875,11312.1728515625,25067.890625,25214.53515625
21,83,1,22,2577.8798828125,2700.5576171875,24.918088155363193,26.03217125872808,9056.4755859375,9023.6455078125,11634.35546875,11724.203125
22,83,1,23,4337.068359375,4301.8564453125,53.19196105351548,52.876153743524846,5985.08203125,5984.79296875,10322.150390625,10286.6494140625
23,83,1,24,912.05615234375,890.310546875,12.99142696618429,12.676607923717711,6564.41796875,6578.10009765625,7476.47412109375,7468.41064453125
24,83,1,25,3424.34326171875,3466.03125,44.52069056363019,44.935368034223245,5979.40576171875,5980.3544921875,9403.7490234375,9446.3857421875
25,83,1,26,1138.2509765625,1135.275390625,17.29659983520603,17.267435806829994,6011.6533203125,6007.0234375,7149.904296875,7142.298828125
26,83,1,27,905.982421875,875.6328125,15.86656247739245,15.385766371253803,5257.01953125,5253.37109375,6163.001953125,6129.00390625
27,83,1,28,959.86376953125,1000.91357421875,17.64677842774448,18.35600935660198,4959.3828125,4952.3271484375,5919.24658203125,5953.24072265625
28,83,1,29,8850.646484375,8800.912109375,63.89692128648306,63.58441584097642,9426.12109375,9440.84765625,18276.767578125,18241.759765625
29,83,1,30,4737.79833984375,4799.57373046875,46.5118010319156,46.986554219834616,7817.32958984375,7814.99462890625,12555.1279296875,12614.568359375
30,83,1,31,7223.396484375,7193.0556640625,73.183542751441,72.94660886943828,6258.548828125,6264.185546875,13481.9453125,13457.2412109375
